gym_id,gym_area_id,climb_type,wall_name
1,1,Bouldering,Mini-Me
1,1,Bouldering,L'Angle
1,1,Bouldering,Big Bulge
1,1,Bouldering,Slip Slab
1,1,Bouldering,Kaizen
1,1,Bouldering,Library
1,1,Bouldering,The Cave
1,2,Bouldering,Hidden Slab
1,2,Bouldering,Nazare 
1,2,Bouldering,Crystal Ball 
1,2,Bouldering,Open Book
2,3,Bouldering,Mirage
2,3,Bouldering,Window Wall
2,3,Bouldering,Zepplin
2,3,Bouldering,The Island
2,3,Bouldering,Void
2,3,Bouldering,Rubiks
2,3,Bouldering,Rave Cave
3,4,Bouldering,Atelier
3,4,Bouldering,The Burrow
3,4,Bouldering,Stronarch
3,4,Bouldering,Latte
3,4,Bouldering,Jawa
3,4,Bouldering,Graceland
3,5,Ropes,Wonderwall
3,5,Ropes,The Arch
3,5,Ropes,Waterfall
3,5,Ropes,Martini Wall
3,5,Ropes,Wave Wall
3,5,Ropes,Nursery
3,5,Ropes,2020 Wall
